Año,Trimestre,ADSL,Porcentaje 1,Cablemodem,Porcentaje 2,Fibra óptica,Porcentaje 3,Wireless,Porcentaje 4,Otros,Porcentaje 5,Total,Porcentaje 6,Periodo
2022,3,1395277,-4.98,6031970,0.88,2871541,5.44,557110,0.16,235230,1.56,11091128,1.21,Jul-Sept 2022
2022,2,1468333,-4.23,5979214,-1.55,2723285,22.70,556243,1.91,231609,-8.09,10958684,3.15,Abr-Jun 2022
2022,1,1533240,-7.50,6073426,1.49,2219533,7.11,545814,4.34,251996,-0.24,10624009,1.28,Ene-Mar 2022
2021,4,1657615,-15.02,5984240,2.71,2072236,32.32,523107,6.23,252596,0.96,10489794,4.01,Oct-Dic 2021
2021,3,1950631,-3.37,5826257,3.27,1566048,6.37,492415,3.24,250190,-1.33,10085541,2.26,Jul-Sept 2021
2021,2,2018587,-7.20,5641731,4.00,1472246,8.02,476968,9.76,253552,1.24,9863084,2.23,Abr-Jun 2021
2021,1,2175211,-1.75,5424782,0.99,1362976,3.95,434548,3.08,250455,-1.02,9647972,0.80,Ene-Mar 2021
2020,4,2213949,-2.21,5371824,2.14,1311199,11.98,421554,2.01,253036,1.69,9571562,2.30,Oct-Dic 2020
2020,3,2263889,-1.38,5259351,5.08,1170879,5.80,413259,9.71,248821,0.73,9356199,3.60,Jul-Sept 2020
2020,2,2295533,-0.17,5005115,2.07,1106725,5.62,376667,6.91,247016,18.11,9031056,2.48,Abr-Jun 2020
2020,1,2299457,-4.77,4903674,0.41,1047817,11.32,352333,3.58,209145,-1.95,8812426,0.22,Ene-Mar 2020
2019,4,2414575,-17.02,4883869,1.75,941295,10.45,340144,0.56,213298,-19.30,8793181,-4.05,Oct-Dic 2019
2019,3,2909805,-2.70,4800091,3.55,852221,12.02,338241,9.81,264326,-0.38,9164684,2.28,Jul-Sept 2019
2019,2,2990457,-4.54,4635575,4.51,760794,19.42,308027,11.43,265328,59.46,8960181,3.61,Abr-Jun 2019
2019,1,3132789,-5.89,4435439,2.82,637099,64.20,276419,4.59,166389,-6.78,8648135,2.06,Ene-Mar 2019
2018,4,3329027,-5.46,4313831,1.79,388013,56.86,264299,7.36,178485,90.14,8473655,1.52,Oct-Dic 2018
2018,3,3521447,-1.01,4238171,4.95,247366,9.32,246181,26.72,93870,-0.70,8347035,2.92,Jul-Sept 2018
2018,2,3557216,-0.48,4038141,1.43,226285,4.06,194267,17.52,94535,-4.38,8110444,0.91,Abr-Jun 2018
2018,1,3574294,-0.28,3981129,4.27,217460,2.85,165300,6.11,98870,-1.67,8037053,2.12,Ene-Mar 2018
2017,4,3584311,-1.06,3818157,4.03,211425,9.00,155775,46.35,100554,-23.67,7870222,1.88,Oct-Dic 2017
2017,3,3622575,-2.71,3670221,8.48,193964,7.29,106443,24.04,131740,134.74,7724943,3.97,Jul-Sept 2017
2017,2,3723518,0.39,3383434,3.27,180777,0.35,85813,1.18,56122,0.67,7429664,1.69,Abr-Jun 2017
2017,1,3708898,-0.37,3276251,2.04,180146,1.17,84813,-0.36,55746,1.19,7305854,0.75,Ene-Mar 2017
2016,4,3722794,-1.42,3210602,2.74,178070,4.81,85119,4.50,55088,1.45,7251673,0.62,Oct-Dic 2016
2016,3,3776442,-0.15,3124855,2.95,169898,1.26,81455,-4.68,54300,-8.71,7206950,1.08,Jul-Sept 2016
2016,2,3782085,-0.27,3035272,8.16,167788,2.08,85452,0.10,59482,1.22,7130079,3.22,Abr-Jun 2016
2016,1,3792493,-0.28,2806359,-3.17,164371,18.09,85370,-0.42,58763,0.16,6907356,-1.11,Ene-Mar 2016
2015,4,3803024,0.38,2898226,2.04,139187,-14.43,85726,1.41,58668,-0.52,6984831,0.72,Oct-Dic 2015
2015,3,3788696,0.55,2840203,3.04,162663,7.84,84530,2.99,58976,-0.31,6935068,1.74,Jul-Sept 2015
2015,2,3767821,0.31,2756294,3.30,150839,-10.32,82077,3.77,59157,-10.43,6816188,1.16,Abr-Jun 2015
2015,1,3756153,-0.21,2668248,5.21,168188,12.36,79098,2.75,66045,-7.72,6737732,2.11,Ene-Mar 2015
2014,4,3764038,1.33,2536219,-1.31,149682,-3.74,76984,-9.53,71573,2.18,6598496,0.05,Oct-Dic 2014
2014,3,3714764,0.16,2569868,4.40,155494,4.10,85096,17.53,70049,-2.91,6595271,2.02,Jul-Sept 2014
2014,2,3708882,0.32,2461670,2.26,149363,-0.64,72405,2.34,72148,-1.07,6464468,1.03,Abr-Jun 2014
2014,1,3697066,,2407330,,150323,,70749,,72930,,6398398,,Ene-Mar 2014
